,longtitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,price,prediction
12655,-121.46,38.52,29,3873,797.0,2237,706,2.1736,INLAND,72100,75687.0
15502,-117.23,33.09,7,5320,855.0,2015,768,6.3373,NEAR OCEAN,279600,297885.01
2908,-119.04,35.37,44,1618,310.0,667,300,2.875,INLAND,82700,78807.0
14053,-117.13,32.75,24,1877,519.0,898,483,2.2264,NEAR OCEAN,112500,123486.0
20496,-118.7,34.28,27,3536,646.0,1837,580,4.4964,<1H OCEAN,238300,226094.0
1481,-122.04,37.96,28,1207,252.0,724,252,3.6964,NEAR BAY,165700,167170.0
18125,-122.03,37.33,23,4221,671.0,1782,641,7.4863,<1H OCEAN,412300,412506.11
5830,-118.31,34.2,36,1692,263.0,778,278,5.0865,<1H OCEAN,349600,325083.0
17989,-121.95,37.27,17,1330,271.0,408,258,1.7171,<1H OCEAN,181300,229318.02
4861,-118.28,34.02,29,515,229.0,2690,217,0.4999,<1H OCEAN,500001,394324.68
20615,-121.54,39.08,23,1076,216.0,724,197,2.3598,INLAND,57500,69979.0
11493,-117.99,33.69,12,2480,858.0,1441,788,1.6705,<1H OCEAN,350000,289111.01
12386,-116.39,33.69,10,11659,2007.0,2186,1083,6.9833,INLAND,238800,271993.0
2167,-119.83,36.78,30,3162,640.0,1660,639,2.8359,INLAND,80300,78484.0
14562,-117.22,32.83,31,2558,512.0,1164,492,3.4318,NEAR OCEAN,200400,205641.0
17821,-121.88,37.37,14,6016,1404.0,3258,1316,3.5745,<1H OCEAN,333700,295816.0
7667,-118.08,33.93,39,1478,324.0,1127,320,3.525,<1H OCEAN,158000,160768.0
10779,-117.91,33.65,17,1328,377.0,762,344,2.2222,<1H OCEAN,276800,240710.0
9390,-122.53,37.9,44,2846,551.0,1232,537,3.8839,NEAR BAY,327200,350993.01
11063,-117.86,33.79,42,1024,191.0,483,187,4.105,<1H OCEAN,194500,196971.0
13860,-117.26,34.48,6,4632,753.0,1851,694,4.1933,INLAND,163100,155003.0
1849,-122.28,37.91,48,2083,298.0,685,286,7.3089,NEAR BAY,331200,351709.03
11789,-121.23,38.79,45,907,176.0,463,190,2.2292,INLAND,92000,97628.0
6127,-117.94,34.1,31,1239,254.0,929,244,3.3625,<1H OCEAN,153400,157107.0
11835,-120.96,39.12,24,2069,436.0,909,374,2.5326,INLAND,139100,132870.0
11893,-117.35,33.98,31,4163,1242.0,3928,1076,1.6943,INLAND,85900,91645.0
20337,-119.03,34.24,25,3655,545.0,1776,544,5.687,<1H OCEAN,238100,252552.01
15022,-117.0,32.77,30,1802,401.0,776,386,2.8125,<1H OCEAN,173500,167306.0
16634,-120.84,35.31,23,3100,603.0,1515,609,2.8493,NEAR OCEAN,196100,204988.0
4328,-118.33,34.08,50,2989,832.0,1345,775,3.2426,<1H OCEAN,442900,382237.01
11646,-118.05,33.81,26,2523,437.0,1377,450,5.2542,<1H OCEAN,234600,233533.0
6161,-117.94,34.08,32,2704,514.0,1669,497,4.4653,<1H OCEAN,195400,194341.0
20439,-118.8,34.27,12,3330,600.0,1577,584,4.6985,<1H OCEAN,264100,249643.0
18057,-122.0,37.27,33,1664,271.0,759,272,5.7876,<1H OCEAN,415800,359061.0
17604,-121.89,37.3,47,2355,426.0,961,428,5.3955,<1H OCEAN,282300,310066.03
14359,-117.22,32.74,52,1260,202.0,555,209,7.2758,NEAR OCEAN,345200,352888.03
12479,-121.49,38.59,20,463,180.0,486,190,1.0313,INLAND,85000,82993.0
8954,-118.39,34.02,38,2447,636.0,1312,574,3.5909,<1H OCEAN,279400,295966.01
2454,-119.56,36.53,19,2746,495.0,1670,518,3.2019,INLAND,95700,98100.0
6482,-118.02,34.09,32,1747,399.0,1199,402,3.4286,INLAND,191800,197497.0
3941,-118.59,34.21,34,2389,521.0,1560,514,4.8333,<1H OCEAN,225400,226860.0
12308,-116.8,33.52,3,830,145.0,272,104,3.8281,INLAND,163500,170997.04
8058,-118.19,33.85,45,1167,302.0,773,287,3.2798,NEAR OCEAN,150300,174715.0
14610,-117.18,32.8,10,3821,631.0,1605,609,5.5454,NEAR OCEAN,217100,239559.0
10858,-117.86,33.71,36,191,42.0,208,37,3.375,<1H OCEAN,157500,159700.0
7010,-118.08,33.97,38,1026,190.0,789,193,4.2,<1H OCEAN,163200,165616.0
11875,-117.36,34.0,19,4592,895.0,2769,838,3.3622,INLAND,105100,110297.0
1642,-121.78,37.97,4,17032,2546.0,7653,2359,5.5601,INLAND,213700,214383.0
16453,-121.27,38.13,40,2402,509.0,1197,486,2.1771,INLAND,98200,93503.0
20485,-118.67,34.28,21,4059,598.0,2133,634,5.6949,<1H OCEAN,235300,242453.0
17783,-121.83,37.37,43,1461,284.0,800,258,3.2279,<1H OCEAN,182400,188440.0
9373,-122.53,37.92,45,1530,324.0,608,328,3.875,NEAR BAY,390800,381236.0
10932,-117.91,33.73,26,2413,512.0,2867,509,4.7639,<1H OCEAN,179900,185464.0
2007,-119.79,36.75,33,3161,934.0,3530,846,1.123,INLAND,46700,49481.0
10774,-117.9,33.64,28,2466,507.0,1081,465,3.9375,<1H OCEAN,339800,311554.0
19495,-121.01,37.66,36,3679,613.0,1366,581,4.5,INLAND,151400,155800.0
18719,-122.38,40.61,14,4773,1133.0,2101,1072,1.7227,INLAND,105000,99127.0
621,-122.17,37.73,52,1555,289.0,620,292,3.7159,NEAR BAY,183300,194008.0
13867,-117.27,34.39,6,6988,1121.0,3660,1092,4.2224,INLAND,125700,133889.0
14750,-117.06,32.57,25,1268,282.0,991,299,3.0284,NEAR OCEAN,123600,124393.0
6213,-117.9,34.07,36,1009,164.0,466,149,5.8519,<1H OCEAN,249400,255246.01
16709,-120.48,35.05,24,2314,468.0,1549,463,2.8203,<1H OCEAN,152600,151857.0
13035,-121.17,38.71,15,3084,557.0,1040,562,2.5183,INLAND,293300,245760.0
14335,-117.17,32.73,52,408,143.0,313,143,1.815,NEAR OCEAN,116700,131337.0
1214,-120.67,37.97,9,7450,1475.0,2233,930,2.6528,INLAND,133000,130231.0
1824,-122.31,37.93,36,1526,256.0,696,263,3.5089,NEAR BAY,261900,244224.0
11527,-118.08,33.77,26,2461,562.0,971,544,2.1944,<1H OCEAN,87500,109715.01
14144,-117.08,32.74,33,3260,673.0,1784,666,3.5078,NEAR OCEAN,126500,136847.0
16732,-120.65,35.41,15,6725,1111.0,3139,1029,4.1875,<1H OCEAN,261600,254837.0
7826,-118.14,33.9,26,2145,471.0,1150,429,3.5972,<1H OCEAN,225800,221317.0
19102,-122.62,38.25,24,2388,358.0,1187,362,4.6534,<1H OCEAN,196500,215823.0
12471,-121.46,38.58,40,1394,397.0,689,353,1.7765,INLAND,109800,101336.0
19406,-120.97,37.69,14,5514,909.0,2819,970,3.8598,INLAND,174400,166846.0
7927,-118.09,33.84,27,1594,295.0,1061,320,4.7917,<1H OCEAN,217700,214391.0
3468,-118.48,34.31,31,1091,256.0,892,238,3.0,<1H OCEAN,172400,175092.0
20502,-118.68,34.33,45,121,25.0,67,27,2.9821,<1H OCEAN,325000,294700.04
2277,-119.79,36.81,33,1461,261.0,494,254,4.25,INLAND,132200,120871.0
6234,-117.95,34.06,32,2252,415.0,1370,411,4.6312,<1H OCEAN,184800,184857.0
3447,-118.42,34.24,17,2049,548.0,2243,541,2.525,<1H OCEAN,163700,168174.0
8392,-118.36,33.97,19,4651,1281.0,2917,1121,2.6823,<1H OCEAN,142500,148829.0
2994,-119.04,35.32,20,37,11.0,34,8,1.2,INLAND,50000,88742.0
6377,-118.02,34.15,44,2267,426.0,980,372,3.6,INLAND,307400,287930.0
15440,-117.21,33.2,22,3337,518.0,1288,466,5.04,<1H OCEAN,253700,251185.0
8617,-118.39,33.87,19,3303,584.0,1329,569,7.521,<1H OCEAN,340400,368073.15
3182,-119.79,36.31,25,4984,1029.0,2414,961,2.2937,INLAND,72300,73420.0
7165,-118.17,34.05,35,1256,294.0,2990,302,3.1528,<1H OCEAN,121800,130547.0
1606,-122.08,37.88,26,2947,,825,626,2.933,NEAR BAY,85000,129467.0
7290,-118.22,33.98,36,1514,453.0,1496,448,2.1044,<1H OCEAN,148200,149750.0
1975,-120.72,38.57,8,892,185.0,427,164,2.6833,INLAND,118800,122041.0
1271,-121.66,37.93,19,2055,358.0,1064,350,4.7426,INLAND,263100,246780.0
5448,-118.42,34.01,29,1996,489.0,960,449,3.6611,<1H OCEAN,344200,366009.07
10591,-117.78,33.68,19,2500,331.0,1027,327,6.115,<1H OCEAN,315600,300420.0
3456,-118.42,34.32,30,3027,604.0,1970,590,4.3409,<1H OCEAN,156000,170489.0
14852,-117.09,32.66,46,844,147.0,423,161,3.375,NEAR OCEAN,136300,143102.0
408,-122.28,37.9,52,2318,328.0,779,312,7.1754,NEAR BAY,362900,365375.02
13322,-117.65,34.06,41,1171,334.0,1479,334,2.25,INLAND,90500,98844.0
17922,-121.98,37.35,36,1054,193.0,546,187,4.5625,<1H OCEAN,240000,245870.0
14458,-117.27,32.82,42,2820,488.0,1175,500,4.5083,NEAR OCEAN,405200,393799.03
20291,-119.19,34.17,35,4276,767.0,3295,708,4.2583,NEAR OCEAN,187300,194004.0
14695,-117.11,32.78,16,2220,512.0,930,527,3.6528,NEAR OCEAN,133200,143180.0
1371,-122.11,38.01,39,1313,306.0,575,231,3.1711,NEAR BAY,116100,124986.0
7839,-118.17,33.91,42,856,167.0,748,195,3.8,<1H OCEAN,145800,141247.0
9067,-118.16,34.71,27,6007,998.0,2680,882,4.1719,INLAND,117200,133661.0
460,-122.26,37.87,52,1087,371.0,3337,350,1.4012,NEAR BAY,175000,215026.06
15249,-117.26,32.98,12,3900,977.0,1690,892,4.125,NEAR OCEAN,226900,240893.0
6285,-117.93,34.04,23,6361,1168.0,4580,1109,4.9342,<1H OCEAN,181000,196662.0
